[run number],seed,type-of-experiment,gui_area-width,gui_area-height,gui_conflict-avoidance,gui_grazing-potential_max,gui_herd-size-dairy,gui_herd-size-transhumance,gui_number-herds-dairy,gui_number-herds-transhumance,display-mode,random-seed,[step],season,day,population-size-dairy,population-size-transhumance,total-grazing-potential_localMax,dairy-pressure-coef,transhumance-pressure-coef,dairy-hut-count,total-occupation-layers,total-grazing-potential,grazing-land-use,grazing-land-use_dairy,grazing-land-use_transhumance,record_total-grazing-potential,record_grazing-land-use,unsustainable-state,unsustainable-dairy-herds,unsustainable-transhumance-herds,siminputrow,dairy_hut_density_percent,mean_occupation_layers_per_hut
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,0,1,0,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,0,0,99.99999999999991,0,0,0,[],[],FALSE,0,0,1,0,NA
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,1,1,1,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.88761763035768,1.12,0.32,0.8,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,2,1,2,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.77523526071568,1.92,0.56,1.36,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,3,1,3,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.66285289107336,2.72,0.72,2,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,4,1,4,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.55047052143128,3.68,0.96,2.72,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,5,1,5,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.43808815178896,4.56,1.2,3.36,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,6,1,6,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.3257057821468,5.36,1.36,4,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,7,1,7,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.21332341250464,6.24,1.6,4.64,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,8,1,8,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,99.10094104286247,6.8,1.76,5.04,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,9,1,9,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.98855867322024,7.36,1.84,5.52,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,10,1,10,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.87617630357822,7.76,1.92,5.84,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,11,1,11,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.763793933935915,8.4,2.08,6.32,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,12,1,12,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.65141156429364,8.88,2.16,6.72,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,13,1,13,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.53902919465152,9.6,2.32,7.28,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,14,1,14,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.42664682500946,10.16,2.4,7.76,[],[],FALSE,0,0,1,0.32,1.25
1,123,user-defined,50,25,TRUE,250,10,50,5,10,grazing-potential,1255252190,15,1,15,50,500,155718.37518392978,0.02889832362227475,0.07224580905568688,4,5,98.31426445536724,10.64,2.48,8.16,[],[],FALSE,0,0,1,0.32,1.25
